Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Details
Easy Moss Stitch Crochet Baby Blanket,2. Easy,Red Heart,Hygge,Weight 5 - Bulky,6.5 mm (K-10.5),Moss / Linen,,Crochet Baby Blankets
Bobble Crochet Baby Blanket (+7 Bonus Sizes),3. Intermediate,Bernat,Softee Baby,Weight 3 - Light,5 mm (H-8),"Bobble , Half Double Crochet , Single Crochet",Pink,Pink
Textured Puff Stitch Crochet Blanket Pattern,3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,5 mm (H-8),"Puff , Single Crochet",Gray,Gray
Mountain Pine Crochet Tree Blanket,3. Intermediate,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,"Green , Neutral",Green
Corner to Corner Heart Blanket Pattern,3. Intermediate,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,6 mm (J-10),"Double Crochet , Slip Stitch","Brown , Neutral",Brown
Textured Crochet Afghan Pattern (+7 Sizes!),3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",White,White
Ombre Crochet Blanket Pattern (Easy & Quick),2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Half Double Crochet , Single Crochet , Slip Stitch","Blue , Green",Blue
Crochet Weighted Blanket using Bernat Blanket Extra,2. Easy,Bernat,Blanket Extra,Weight 7 - Jumbo,"15 mm (P/Q) , 16 mm (Q)","Half Double Crochet , Herringbone Half Double Crochet","Brown , Neutral",Brown
Winter Crochet Beanie Pattern,3. Intermediate,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Single Crochet","Neutral , White",Neutral
Neon Rainbow Striped Crochet Hat,3. Intermediate,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Herringbone Half Double Crochet , Single Crochet , Single Crochet Back Loop",Variegated,Variegated
Emily Diagonal Beanie Crochet Hat Pattern,3. Intermediate,Lion Brand,Wool-Ease Tonal,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Single Crochet",Gray,Gray
1 Hour Crochet Messy Bun Beanie Pattern,2. Easy,Loops and Threads,Cozy Wool,Weight 6 - Super Bulky,9 mm (M/N-13),"Half Double Crochet , Single Crochet",Gray,Gray
Andy Button Crochet Hat Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Neutral,Neutral
Free Autumn Crochet Beanie Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),Half Double Crochet,Green,Green
Free  and Easy Crochet Ear Warmer Pattern for Winter,2. Easy,Lion Brand,Woolspun,Weight 5 - Bulky,"5.5 mm (I-9) , 6 mm (J-10)","Half Double Crochet , Single Crochet",Neutral,Neutral
