Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Easy Moss Stitch Crochet Baby Blanket,2. Easy,Red Heart,Hygge,Weight 5 - Bulky,6.5 mm (K-10.5),Moss / Linen,,Crochet Baby Blankets,https://easycrochet.com/moss-stitch-crochet-baby-blanket/
Bobble Crochet Baby Blanket (7 Sizes),3. Intermediate,Bernat,Softee Baby,Weight 3 - Light,5 mm (H-8),"Bobble , Half Double Crochet , Single Crochet",Pink,Pink,https://easycrochet.com/bobble-crochet-baby-blanket-7-bonus-sizes/
Textured Puff Stitch Crochet Blanket Pattern,3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,5 mm (H-8),"Puff , Single Crochet",Gray,Gray,https://easycrochet.com/textured-puff-stitch-crochet-blanket-pattern/
Mountain Pine Crochet Tree Blanket,3. Intermediate,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,"Green , Neutral",Green,https://easycrochet.com/mountain-pine-tree-crochet-blanket/
Corner to Corner Heart Blanket Pattern,3. Intermediate,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,6 mm (J-10),"Double Crochet , Slip Stitch","Brown , Neutral",Brown,https://easycrochet.com/corner-to-corner-heart-blanket-for-baby/
Textured Crochet Afghan Pattern (+7 Sizes!),3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",White,White,https://easycrochet.com/textured-crochet-afghan-pattern-7-sizes/
Ombre Crochet Blanket Pattern (Easy & Quick),2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Half Double Crochet , Single Crochet , Slip Stitch","Blue , Green",Blue,https://easycrochet.com/easy-classic-crochet-blanket-pattern/
Crochet Weighted Blanket using Bernat Blanket Extra,2. Easy,Bernat,Blanket Extra,Weight 7 - Jumbo,"15 mm (P/Q) , 16 mm (Q)","Half Double Crochet , Herringbone Half Double Crochet","Brown , Neutral",Brown,https://easycrochet.com/bernat-blanket-extra-yarn-blanket-pattern/
Winter Crochet Beanie Pattern,3. Intermediate,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Single Crochet","Neutral , White",Neutral,https://easycrochet.com/dreaming-of-winter-crochet-beanie-pattern/
Neon Rainbow Striped Crochet Hat,3. Intermediate,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Herringbone Half Double Crochet , Single Crochet , Single Crochet Back Loop",Variegated,Variegated,https://easycrochet.com/neon-rainbow-striped-crochet-hat/
Emily Diagonal Beanie Crochet Hat Pattern,3. Intermediate,Lion Brand,Wool-Ease Tonal,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Single Crochet",Gray,Gray,https://easycrochet.com/emily-diagonal-beanie-crochet-pattern/
1 Hour Crochet Messy Bun Beanie Pattern,2. Easy,Loops and Threads,Cozy Wool,Weight 6 - Super Bulky,9 mm (M/N-13),"Half Double Crochet , Single Crochet",Gray,Gray,https://easycrochet.com/1-hour-button-messy-bun-beanie/
Andy Button Crochet Hat Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Neutral,Neutral,https://easycrochet.com/andy-crochet-hat-pattern/
Free Autumn Crochet Beanie Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),Half Double Crochet,Green,Green,https://easycrochet.com/autumn-crochet-beanie-pattern/
Free and Easy Crochet Headband Pattern for Winter,2. Easy,Lion Brand,Woolspun,Weight 5 - Bulky,"5.5 mm (I-9) , 6 mm (J-10)","Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/chained-crochet-headband-pattern/
Snowy Crochet Ear Warmer Pattern for Beginners,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,6 mm (J-10),Single Crochet,"Blue , Neutral",Blue,https://easycrochet.com/snowy-crochet-earwarmer/
Crochet Heart Crop Top Pattern,3. Intermediate,,,Weight 4 - Medium,4 mm (G-6),"Half Double Crochet , Half Double Crochet Two Together , Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-heart-crop-top-pattern/
Crochet Pleated High Waist Baby Skirt,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch",,"Crochet Baby Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-pleated-high-waist-baby-skirt/
Crochet Pleated Baby Cardigan,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Single Crochet , Slip Stitch",,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-pleated-baby-cardigan/
Wetherby Child Cardigan,2. Easy,WeCrochet,Brava Worsted,Weight 4 - Medium,5.5 mm (I-9),,Gray,Baby Sweaters,https://easycrochet.com/partner/wetherby-child-cardigan/
Wetherby Crop Cardigan,2. Easy,WeCrochet,Brava Worsted,Weight 4 - Medium,5.5 mm (I-9),,Neutral,Crochet Cardigans,https://easycrochet.com/partner/wetherby-crop-cardigan/
Chloe Tabard Top,3. Intermediate,WeCrochet,Brava Worsted,Weight 4 - Medium,4.5 mm (7),Half Double Crochet,Gray,Gray,https://easycrochet.com/partner/chloe-tabard-top/
Diamond Crochet Cardigan,2. Easy,"Knit Picks , Lion Brand",,"Weight 2 - Fine , Weight 4 - Medium",4 mm (G-6),"Double Crochet , Front Loop Single Crochet , Single Crochet","Blue , Gray , White",Blue,https://easycrochet.com/partner/diamond-crochet-cardigan/
Lace Crochet Cape Pattern,3. Intermediate,,,Weight 0 - Lace,3.25 mm (D-3),,Purple,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/lace-crochet-cape-pattern/
Waffle Stitch Crochet Scarf Pattern,3. Intermediate,Loops and Threads,Cr̬me Cotton,,6 mm (J-10),,,Crochet Scarves The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/waffle-stitch-crochet-scarf/
Josie Chunky Crochet Scarf Pattern,3. Intermediate,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,10 mm (N/P-15),"Half Double Crochet , Half Double Crochet Back Loop , Half Double Crochet Two Together",Neutral,Neutral,https://easycrochet.com/chunky-crochet-scarf-pattern/
