Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
RomCom Cardi,Intermediate,Worsted,Wool,1250-1750,Crochet,US 7 (4.5mm) Crochet hook,https://www.crochet.com/romcom-cardi/p/55039D
Motion Picture Mosaic Cardi,Intermediate,DK,Acrylic,1836-3060,Crochet,US G/6 (4.0mm) Crochet hook,https://www.crochet.com/motion-picture-mosaic-cardi/p/55036D
Chelsea: My First Circular Yoke Sweater,Intermediate,Worsted,Wool,1430-2420,Crochet,US 7 (4.5 mm) Crochet hook,https://www.crochet.com/chelsea-my-first-circular-yoke-sweater/p/55115D
Ribbon Canyon Blanket,Intermediate,Worsted,,3488,Crochet,I/5.5mm crochet hook,https://www.crochet.com/ribbon-canyon-blanket/p/N2326
Rosie: My First Raglan Sweater,Intermediate,Worsted,Wool,1760-2970,Crochet,US 7 (4.5 mm) Crochet hook,https://www.crochet.com/rosie-my-first-raglan-sweater/p/55114D
Charlie: My First Cardigan,Intermediate,Worsted,Alpaca,1533-1971,Crochet,US 7 (4.5 mm) Crochet hook,https://www.crochet.com/charlie-my-first-cardigan/p/55117D
Sammie: My First Set-In Sleeve Sweater,Intermediate,Worsted,Acrylic,1308-2398,Crochet,US 7 (4.5 mm) Crochet hook,https://www.crochet.com/sammie-my-first-set-in-sleeve-sweater/p/55116D
Daisy: My First Drop Shoulder Sweater,Intermediate,Worsted,Acrylic,1526-2398,Crochet,US 7 (4.5 mm) Crochet hook,https://www.crochet.com/daisy-my-first-drop-shoulder-sweater/p/55113D
Leading Lady Duster,Intermediate,Worsted,"Acrylic, Alpaca, Wool",2190-3285,Crochet,US G/6 (4.0mm) Crochet hook,https://www.crochet.com/leading-lady-duster/p/55033D
Meet Cute Sweater,Intermediate,Sport,"Acrylic, Wool",984-2296,Crochet,US G/6 (4.0mm) Crochet hook,https://www.crochet.com/meet-cute-sweater/p/55030D
Producer Pullover,Intermediate,DK,Wool,2337-4059,Crochet,US H/8 (5.0mm) Crochet hook,https://www.crochet.com/producer-pullover/p/55042D
Sundance Dress,Intermediate,"Lace, Fingering",Cotton,3605-6489,,D/3.25mm crochet hook,https://www.crochet.com/sundance-dress/p/54082D
